v 104
19 -5 -10
11 14 15
17 19 -18
9 12 -2
11 9 -5
-4 -12 -2
-8 -5 -13
-7 3 9
19 3 14
9 3 -20
4 20 15
-16 -6 -1
2 19 5
-7 11 -15
18 13 -9
16 13 5
-15 12 -20
-15 -14 20
17 20 -11
16 12 -2
19 -20 13
12 5 -18
16 -7 -9
18 2 20
-7 -1 -17
-20 -18 7
1 -19 -10
-16 -14 -18
17 18 7
3 20 6
8 -13 4
-8 -20 -2
16 -18 15
18 4 -9
1 13 -10
2 20 6
19 5 6
20 -2 15
2 -19 -9
-7 5 -17
-8 -15 2
-15 11 12
2 -6 -20
13 19 -11
2 18 15
9 13 -10
17 18 -11
12 13 -17
12 -19 14
-14 11 -10
-8 -5 -2
-6 11 -9
-7 -3 -18
17 11 14
-16 10 14
8 13 -18
-15 -18 -1
-11 -4 13
-15 -19 -3
1 -14 -17
-11 13 -9
-8 16 4
-13 -9 -5
-8 -5 -11
16 10 -3
-16 -15 -9
-7 -6 -1
-20 4 -1
-15 11 -13
16 17 -5
-14 3 15
19 13 -17
19 -20 -10
16 -18 -17
-6 20 -18
12 -19 -10
2 11 13
11 -12 5
-15 -13 -1
-8 18 -19
18 19 -20
10 -20 -1
8 -4 5
-13 4 -20
9 20 13
-8 17 11
-15 10 3
19 3 -17
-8 20 -19
1 -11 -18
11 -20 -17
-8 19 -2 6
-15 6 -8 -3 -2
-15 -3 6 -2 13 -18
-15 20 6 -2 13 -18
20 6 -18 13 -2
20 6 -9 13 -2
20 -9 11 13 -2
11 20 13 -9
11 20 13
2 20 -18
2 20
-15 11 20
13 20 -11
50 36 91
58 91 92
55 92 93
29 93 94
37 94 95
14 95 96
51 96 97
76 97 98
84 98 99
35 74 100
23 100 101
99 68 102
60 84 103
